Benchmark	Description	ActualAvgRounds	MinScore	TIME_TO_SEC(timediff(TimeEnd, TimeStart))
gr-driver	Broadcast, de+nsga2	615.3	0.0001358250390131044	103
rb-driver	Hypercube, pso	1999	4665.065901215098	573
sw-driver	Broadcast, pso	1999	3147.234297499349	323
ak-driver	Broadcast, de+pso	271	0.04322416264287954	53
gr-driver	Watts-Strogatz, de+nsga2	1999	0.044253527630356726	351
sw-driver	Bidirectional ring, pso	1999	2978.4367064106445	293
sw-driver	Watts-Strogatz, de+nelder mead	302.8	0.00020106954252696596	75
sw-driver	Bidirectional ring, de+praxis	52.4	0.000000000003637978807091713	26
sw-driver	One-way ring, de+nsga2	368.5	0.0001471837395001785	94
ak-driver	Extended Barabasi-Albert, de+praxis	195.7	0.044362384231576346	50
rb-driver	Watts-Strogatz, xnes	1999	78475.68788969604	439
rb-driver	One-way ring, de+sade	659.5	0.001572351991814434	151
sw-driver	Hypercube, xnes	1999	-572879.8425625674	834
sw-driver	Rim, pso	1999	2931.1359606942374	336
ak-driver	Extended Barabasi-Albert, de1220	109.1	0.04083190078578669	37
gr-driver	Barabasi-Albert, pso	1999	32.48778389415088	315
sw-driver	Bidirectional ring, cmaes	1999	-455068.85637765494	442
ra-driver	One-way ring, bee_colony	45.3	0.29204486760500004	20
rb-driver	Bidirectional chain, pso_gen	1999	5142.27510308288	292
sw-driver	Barabasi-Albert, de	288.4	0.00019984868777100928	74
sw-driver	One-way ring, nsga2	1999	3925.539104273565	292
sw-driver	One-way ring, xnes	1999	-425833.5194682848	456
sw-driver	Fully Connected, de+nsga2	347.7	0.000189875090654823	89
rb-driver	Watts-Strogatz, de+sade	654.5	0.0013660286326881211	152
sw-driver	Rim, de1220	206.5	0.00016788931679911911	55
ak-driver	Fully Connected, de+sade	152.7	0.03389910105675442	43
rb-driver	Extended Barabasi-Albert, de+de1220	654.5	0.0048864792121765584	151
rb-driver	Barabasi-Albert, bee_colony	1999	0.0004145838473170885	435
gr-driver	1-2 Ring, de+de1220	1999	0.007396040334114895	331
gr-driver	Hypercube, xnes	1999	117.20763707705797	836
